beta_0,beta_1,sigma,log_lik
0.22806401,0.95082571,0.53858238,-4.0518533
0.24821338,1.0250606,0.53467207,-5.9152904
-1.2603768,1.0652619,0.69849716,-5.6358837
-0.71398822,1.3275567,0.64428921,-5.9240596
-1.789201,1.2474963,0.60180053,-5.5505145
-1.6944483,1.2258192,0.57624179,-5.554965
-1.1559253,1.2566042,0.44131891,-3.51387
-1.2750067,1.2925294,0.42380521,-3.7185819
-1.2585133,1.3191207,0.40087678,-4.2342128
1.8853887,0.45775624,1.2908771,-5.4212473
1.9307974,0.39642722,0.96440072,-4.7750516
2.0108636,0.37510021,0.81362383,-4.6584995
-0.85048224,1.1345932,0.92459978,-4.0438559
-2.1304097,1.3239949,0.94263193,-5.3100695
-1.5811405,1.330211,1.0099632,-4.3881441
-1.9080799,1.2546019,1.1465145,-5.4978733
-1.0168836,1.3455957,1.1774826,-5.1254006
-2.9263523,1.6801417,0.85076769,-4.6522297
-2.6162721,1.6533571,0.8325571,-4.3683538
-1.1007234,1.2044217,0.61867182,-3.3308212
-1.3113743,1.3173633,0.76210844,-3.7083839
0.65568352,0.76958371,0.52986701,-3.6963547
-1.8175887,1.518274,0.9000074,-4.4340546
-1.6172259,1.5063865,0.89534098,-4.6876868
-1.3986352,1.4193611,0.93700886,-4.5009611
-2.5129827,1.6184962,1.0739298,-4.7798531
-1.2469741,1.3289043,0.58989263,-3.61377
-1.2975634,1.3426942,0.58390682,-3.6355175
-1.6305088,1.1968519,0.63863345,-5.4091213
-1.6541213,1.3866741,0.66232789,-3.5913766
-1.6541213,1.3866741,0.66232789,-3.5913766
-0.19019908,0.99794156,0.78726876,-3.6654316
-2.0244128,1.516765,0.87157254,-4.1978722
-1.7655648,1.441235,0.65991884,-3.7067977
-1.0127976,1.1034188,0.48256593,-4.2930882
-1.2458942,1.309007,0.6097835,-3.4712604
-1.699663,1.4102584,0.61862395,-3.5957088
-0.65482187,1.1120049,0.42456838,-3.383482
-0.40858373,1.0916491,0.40150846,-4.0230243
-0.40858373,1.0916491,0.40150846,-4.0230243
-0.40858373,1.0916491,0.40150846,-4.0230243
